accession_id,virus_name,location,collection_date
EPI_ISL_425383,hCoV-19/England/CAMB-74EA3/2020,Europe / United Kingdom / England,2020-03-17
EPI_ISL_424051,hCoV-19/England/20129054906/2020,Europe / United Kingdom / England,2020-02-12
EPI_ISL_425382,hCoV-19/England/CAMB-74E85/2020,Europe / United Kingdom / England,2020-03-18
EPI_ISL_424050,hCoV-19/England/20129050802/2020,Europe / United Kingdom / England,2020-03-12
EPI_ISL_425381,hCoV-19/England/CAMB-74E76/2020,Europe / United Kingdom / England,2020-03-18
EPI_ISL_425380,hCoV-19/England/CAMB-74E67/2020,Europe / United Kingdom / England,2020-03-18
EPI_ISL_426680,hCoV-19/Australia/VIC373/2020,Oceania / Australia / Victoria,2020-03-22
EPI_ISL_426681,hCoV-19/Australia/VIC374/2020,Oceania / Australia / Victoria,2020-03-22
EPI_ISL_426682,hCoV-19/Australia/VIC375/2020,Oceania / Australia / Victoria,2020-03-22
EPI_ISL_426683,hCoV-19/Australia/VIC376/2020,Oceania / Australia / Victoria,2020-03-22
EPI_ISL_426684,hCoV-19/Australia/VIC377/2020,Oceania / Australia / Victoria,2020-03-22
EPI_ISL_426685,hCoV-19/Australia/VIC378/2020,Oceania / Australia / Victoria,2020-03-22
EPI_ISL_426686,hCoV-19/Australia/VIC379/2020,Oceania / Australia / Victoria,2020-03-22
EPI_ISL_426687,hCoV-19/Australia/VIC380/2020,Oceania / Australia / Victoria,2020-03-23
EPI_ISL_426688,hCoV-19/Australia/VIC381/2020,Oceania / Australia / Victoria,2020-03-23
EPI_ISL_426689,hCoV-19/Australia/VIC382/2020,Oceania / Australia / Victoria,2020-03-23
EPI_ISL_424049,hCoV-19/England/20129047706/2020,Europe / United Kingdom / England,2020-03-13
EPI_ISL_424048,hCoV-19/England/20129044506/2020,Europe / United Kingdom / England,2020-03-11
EPI_ISL_425379,hCoV-19/England/CAMB-74E58/2020,Europe / United Kingdom / England,2020-03-18
EPI_ISL_424047,hCoV-19/England/20129044404/2020,Europe / United Kingdom / England,2020-03-11
EPI_ISL_425378,hCoV-19/England/CAMB-74E49/2020,Europe / United Kingdom / England,2020-03-17
EPI_ISL_424046,hCoV-19/England/20129042904/2020,Europe / United Kingdom / England,2020-03-11
EPI_ISL_425377,hCoV-19/England/CAMB-74E0D/2020,Europe / United Kingdom / England,2020-03-18
EPI_ISL_424045,hCoV-19/England/20129042806/2020,Europe / United Kingdom / England,2020-03-11
EPI_ISL_425376,hCoV-19/England/CAMB-74DF1/2020,Europe / United Kingdom / England,2020-03-18
EPI_ISL_424044,hCoV-19/England/20129042504/2020,Europe / United Kingdom / England,2020-03-11
EPI_ISL_425375,hCoV-19/England/CAMB-74DE2/2020,Europe / United Kingdom / England,2020-03-18
EPI_ISL_424043,hCoV-19/England/20129042204/2020,Europe / United Kingdom / England,2020-03-12
EPI_ISL_425374,hCoV-19/England/CAMB-74D6A/2020,Europe / United Kingdom / England,2020-03-19
EPI_ISL_424042,hCoV-19/England/20129038804/2020,Europe / United Kingdom / England,2020-03-20
EPI_ISL_425373,hCoV-19/England/CAMB-74D5B/2020,Europe / United Kingdom / England,2020-03-19
EPI_ISL_424041,hCoV-19/England/20129038404/2020,Europe / United Kingdom / England,2020-03-21
EPI_ISL_424040,hCoV-19/England/20129038304/2020,Europe / United Kingdom / England,2020-03-21
EPI_ISL_425371,hCoV-19/England/CAMB-74D4C/2020,Europe / United Kingdom / England,2020-03-19
EPI_ISL_425370,hCoV-19/England/CAMB-74D3D/2020,Europe / United Kingdom / England,2020-03-19
EPI_ISL_426690,hCoV-19/Australia/VIC383/2020,Oceania / Australia / Victoria,2020-03-23
EPI_ISL_426691,hCoV-19/Australia/VIC384/2020,Oceania / Australia / Victoria,2020-03-23
EPI_ISL_426692,hCoV-19/Australia/VIC385/2020,Oceania / Australia / Victoria,2020-03-23
EPI_ISL_426693,hCoV-19/Australia/VIC386/2020,Oceania / Australia / Victoria,2020-03-23
EPI_ISL_426694,hCoV-19/Australia/VIC387/2020,Oceania / Australia / Victoria,2020-03-23
EPI_ISL_426695,hCoV-19/Australia/VIC388/2020,Oceania / Australia / Victoria,2020-03-23
EPI_ISL_426696,hCoV-19/Australia/VIC389/2020,Oceania / Australia / Victoria,2020-03-23
EPI_ISL_426697,hCoV-19/Australia/VIC394/2020,Oceania / Australia / Victoria,2020-03-24
EPI_ISL_426698,hCoV-19/Australia/VIC395/2020,Oceania / Australia / Victoria,2020-03-24
EPI_ISL_426699,hCoV-19/Australia/VIC396/2020,Oceania / Australia / Victoria,2020-03-24
EPI_ISL_418198,hCoV-19/USA/NY-NYUMC13/2020,North America / USA / New York / Manhattan,2020-03-17
EPI_ISL_403935,hCoV-19/Guangdong/20SF025/2020,Asia / China / Guangdong / Shenzhen,2020-01-15
EPI_ISL_418197,hCoV-19/USA/NY-NYUMC12/2020,North America / USA / New York / Manhattan,2020-03-15
EPI_ISL_403936,hCoV-19/Guangdong/20SF028/2020,Asia / China / Guangdong / Zhuhai,2020-01-17
EPI_ISL_418196,hCoV-19/USA/NY-NYUMC11/2020,North America / USA / New York / Manhattan,2020-03-14
EPI_ISL_403933,hCoV-19/Guangdong/20SF013/2020,Asia / China / Guandong / Shenzhen,2020-01-15
EPI_ISL_418195,hCoV-19/USA/NY-NYUMC10/2020,North America / USA / New York / Manhattan,2020-03-17
EPI_ISL_403934,hCoV-19/Guangdong/20SF014/2020,Asia / China / Guandong / Shenzhen,2020-01-15
EPI_ISL_403937,hCoV-19/Guangdong/20SF040/2020,Asia / China / Guangdong / Zhuhai,2020-01-18
EPI_ISL_418199,hCoV-19/USA/NY-NYUMC14/2020,North America / USA / New York / Manhattan,2020-03-17
EPI_ISL_415920,hCoV-19/Wales/PHW32/2020,Europe / United Kingdom / Wales,2020-03-12
EPI_ISL_415916,hCoV-19/Wales/PHW25/2020,Europe / United Kingdom / Wales,2020-03-11
EPI_ISL_415919,hCoV-19/Wales/PHW29/2020,Europe / United Kingdom / Wales,2020-03-11
EPI_ISL_415918,hCoV-19/Wales/PHW26/2020,Europe / United Kingdom / Wales,2020-03-11
EPI_ISL_418190,hCoV-19/USA/NY-NYUMC5/2020,North America / USA / New York / Nassau County,2020-03-16
